name,facility_type,address,phone,monthly_fee_min,monthly_fee_max,image,capacity,room_type,care_level,services,features,cost_score,medical_score,facility_score,website_url
リハビリホームグランダ鶴ケ峰,有料老人ホーム,神奈川県横浜市旭区西川島町60-4,0453702580,"473,910","1,160,170",https://d3lqfxv2uj61gi.cloudfront.net/kaigo/facility/1072/62249/01_1b67c5385fed4aa95a388ef209c8e981.webp?width=1120&height=840&o=jpg,55名,個室,自立〜要介護５,介護、医療,多職種が連携し、チームとなってご入居者様の暮らしをサポートいたします。,2,3.9,4.2,https://kaigo.benesse-style-care.co.jp/area_kanagawa/yokohama/home_gd-tsurugamine
アズハイム横浜上大岡,有料老人ホーム,神奈川県横浜市南区別所３丁目２０ー１６,0120834260,"380,000",,https://as-heim.com/wp/wp-content/uploads/2021/11/top_kamiooka01.jpg,60名,個室,要支援〜要介護,介護、リハビリ,アズハイムでは月に１度’おもてなしグルメランチ’を開催。追加料金なしで、いつもより少し豪華な食事や、季節の素材を取り入れた食事などご提供しています。,2.5,3.5,4.1,https://as-heim.com/facility/kamiooka/
エクセレント横濱桜並木,有料老人ホーム,神奈川県横浜市南区井土ケ谷中町３０ー３,0457211165,"234,100",,https://www.excare.co.jp/asset/rs/01/yokohama/img/kv.jpg,70名,個室,要介護1〜5,介護、医療,住み慣れた環境の中で、馴染みのある四季折々の風景や行事に触れながら、地域とのつながりをいつまでも感じていただけるホームです,3,4,4.3,https://www.excare.co.jp/facility/01/yokohama/
特別養護老人ホーム 南太田ホーム,特別養護老人ホーム,神奈川県横浜市南区南太田２丁目１１ー４,0452506771,"86,550",,https://yoko-fukushi.or.jp/cp-bin/wordpress5/wp-content/themes/yswa/cmn/img/shisetu/minamiohta/mainvis_01.jpg,96名,個室、2人部屋，4人部屋,要介護3〜5,介護,小高い丘にあり、市街地の喧噪から少し離れ、静かで緑にかこまれています。各居室は陽当たりがよく、木のぬくもりを感じる明るく暖かい造りになっています。,3.5,3,3,https://yoko-fukushi.or.jp/facility/minamiohta/
特別養護老人ホーム 横浜市天神ホーム,特別養護老人ホーム,神奈川県横浜市南区浦舟町３丁目４６,0452515906,"80,280",,https://yoko-fukushi.or.jp/cp-bin/wordpress5/wp-content/themes/yswa/cmn/img/shisetu/tenjin/mainvis_01.jpg,78名,個室、2人部屋,要介護3〜5,介護,「一人ひとりの生き方を大切に」「目的を持った生活を大切に」「ご家族や他の人のふれあいを大切に」をモットーに、ご利用者の皆さまが優しさと温かさのなかで毎日過ごしていただけるよう心掛けています,3.6,3,3.2,https://yoko-fukushi.or.jp/facility/tenjin/
特別養護老人ホーム 笹の風,特別養護老人ホーム,神奈川県横浜市港南区笹下４丁目１２ー３５,0458404165,120330,,https://jurakuen.jp/yokohama/img/pic04.jpg,140名,個室,要介護3〜5,介護、リハビリ,敷地内には竹林や中庭があり、室内から緑や日の光を感じる事ができます。,2.9,3.3,3,http://jurakuen.jp/yokohama/sasanokaze.html
南永田 桜樹の森,特別養護老人ホーム,神奈川県横浜市南区永田南１丁目２ー３７ 特別養護老人ホーム南永田桜樹の森,0457112200,"80,220",,https://shuhokai.or.jp/office/minami-ku/images/nursing-home-img02.jpg,82名,2人部屋,要介護3〜5,介護,桜樹の森の居室は二人部屋が多いのですが、全て間仕切りをしているため、個室のしつらえとなっており、プライバシーの確保も安心です。また、家具等の持ち込みも自由にしていただけます。,3.7,3,2.9,http://shuhokai.or.jp/office/minami-ku/nursing-home-ouju.php
特別養護老人ホーム けいあいの郷 山王台,特別養護老人ホーム,神奈川県横浜市南区永田山王台３９ー１,0457160580,"131,100",,https://keiainosato-sannoudai.jp/gsh/wp-content/themes/sannoudai/img/p01/img01.jpg,190名,個室,要介護3〜5,介護,山王台では「ご自身が暮らし方を決める」を基本に生活の支援をします。自由に、より楽しく暮らせるような工夫をしています。,2.9,3.2,3,https://keiainosato-sannoudai.jp/
特別養護老人ホーム 新磯子ホーム,特別養護老人ホーム,神奈川県横浜市磯子区滝頭２丁目２９ー１,0457505585,"135,000",,https://shafuku-doujinkai.or.jp/wp/wp-content/uploads/2022/08/shinisogo-exterior.png,120名,,要介護3〜5,介護,これまでの住み慣れたお部屋の雰囲気を大切に、家庭的で温もり溢れる居住空間をお約束いたします。市街地にありつつも、違和感を感じさせないそのフォルムには、洗練された洋風の佇まいと、ほどよい和の温もりが『癒し』を演出しています。,2.8,3.5,3.5,https://shafuku-doujinkai.or.jp/facility/nursing-home/shinisogo-home
特別養護老人ホーム 和みの園,特別養護老人ホーム,神奈川県横浜市戸塚区東俣野町1705,0458510753,"92,730",,https://nagominosono.jp/home/wp-content/uploads/2019/08/th_DSC_2280.jpg,80名,個室、2人部屋,要介護3〜5,介護,ともに和み　ともに歩む「みんなの居場所」誰もが笑顔でいられる.安心できる.自分らしくいられる.つながれる.成長できるみんなの居場所を創り続けます。,3.8,3.5,4.3,https://nagominosono.jp/
